year,sentence
1975,"Sen Hubert H Humphrey to settle more than $900,000 in '72 campaign debts for as little as 3c or 4c on each dollar; some Hunphrey debtors noted (M) Humphrey Settling Debt At 3 to 4 Cents on Dollar"
1972,"2 bands of school-aged youths vandalize 2 Bway IRT trains during Oct 26 morning rush, breaking windows, frightening riders and forcing trains to be taken out of service; no arrests are made NEW JERSEY"
1962,Sen Ellender sees Cong approving key secs ELLENDER FAVORS NEW GRAIN CURBS; Expects Congress to Adopt President's Key Proposals
2014,"The challengers include a student who was Yale’s first Jewish graduate and one whose his family was rich, slave-owning, and, by all accounts, white. New Contenders Emerge in Quest to Identify Yale’s First African-American Graduate"
1961,Editorial assays Adm record as Mayor Wagner begins last yr of 2d term; lists unfinished business The Mayor's Eighth Year
1962, DOMINICANS CHARGE HOSTILITY BY HAITI
1993,"No amount of staring at Marcia Tucker's beautiful Modigliani face will determine whether it has ever hidden behind the mask of a Guerrilla Girl, one of the incognito feminists dedicated to exposing sexism in the art world. But Ms. Tucker, a 60's idealist whom Newsweek named one of its ""people for the 90's,"" does not disguise her political convictions and artistic sympathies. She has just finished celebrating the 15th anniversary of the New Museum of Contemporary Art, which she founded ""to see what happens when you don't look at everything through white male eyes.""

In the museum's long, narrow, white-walled space on Broadway in lower Manhattan, she and her curators have mounted rambunctiously multicultural, aggressively multimedia exhibitions radiating social relevance. What has been a breath of fresh air to some observers has been a consciousness-raising tool from hell to others. People tend to speak respectfully of Ms. Tucker as a person (she meets so many acquaintances just standing on a SoHo street corner that it starts to feel like a receiving line) while hurling brickbats at her shows and institution. ARTS/ARTIFACTS;
High Priestess of Trendiness"
1976,"Bosco, Henri Henri Bosco, French Poet And Novelist, Dead at 87"
2000,"Lighting designer Bob Dickinson, set designer Robert Keene and Academy Awards broadcast director Louis Horvitz comment on their work on new stage set for show; photos (M) It's O.K. to Cry if You Win, But Sweating Is Simply Forbidden"
2010,"Apparently being an NBA superstar, actor, author, Ph.D. student, platinum-selling rapper, reserve police officer and U.S. Deputy Marshal was not enough for <b>Shaquille O'Neal</b>. Now, the 7-foot-1-inch Cleveland Cavalier is venturing into the art world as a gallery curator. His first exhibition, <b>""Size Does Matter,""</b> opens today at the <a href=""http://www.flagartfoundation.org/upcoming/"">Flag Art Foundation</a> in Chelsea. The show, which runs through May 27, explores ""the myriad ways that scale affects the perception of contemporary art"" and includes works by Chuck Close, Cindy Sherman, Jeff Koons, Kehinde Wiley, Lisa Yuskavage and others. And if that wasn't enough to get your attention, a catalog with an essay by Cleveland native <b>James Frey </b>will accompany the exhibition. Shaq in the Paint"
2001,"Thomas L Friedman Op-Ed column describes company called Viatru Inc, which uses Internet to enable native peoples to stay at home and globally market their traditional crafts or farm products; says Viatru is creating Internet linkages between stores in United States and artisans in places like India, where craftspeople are plugged into global market, so they are not totally dependent on local economy; says Viatru is example that globalization is both homogenizing and particularizing Foreign Affairs; Digital Divide or Dividend?"
1967,"United Refining & Smelting Co: 4 gunmen take $250,000, mostly in gold and silver alloy, Chicago Gunmen Get $250,000 Loot"
2017,Fast-casual food outlets are creating a new class of servers to give waiting customers a more human touch. Help Wanted: Someone to Soothe the Restaurant Line
1984,"  Stock prices fell broadly yesterday in slower trading despite announcements by many major banks that they were cutting their prime lending rates.   The Dow Jones industrial average ended the session down 6.07 points, to 1,204.95, bringing its loss for the week to 20.98 points. In the preceding week, the average gained 35.23 points, helped mainly by lower oil prices.   In the general market, declining issues on the New York Stock Exchange outnumered those that rose by more than a 2-to-1 ratio, with semiconductor issues the main casualties for the second consecutive session. STOCKS OFF BROADLY IN SLOWER TRADING"
2003,"SCHACHER-Bertha. Wife of the late Martin Schacher, mother of Robert and Donald (deceased), grandmother, and great grandmother, passed away on April 19, 2003. For information Zion Memorial Chapel 914-381-1809. Paid Notice: Deaths  SCHACHER, BERTHA"
2002,Malone Advertising is acquiring Haselow Marketing Communications (S) Malone Advertising Acquiring Haselow
1972,"Rev Abernathy announces at June 7 tribute to late Rev Dr M L King Jr that SCLC will build tent city in Miami Beach, Fla, to dramatize demands of blacks to delegates at Dem Natl Conv Tent City Set for Florida"
2007,A portable music player serenades fans by eliminating the element of choice. Boxed Set
1979,"DUST, a quaint euphemism for the black stuff that seeps through New York windows and heads straight for white upholstery, can be controlled with a variety of new filtering products. Shielding Furniture and Lungs From Soot"
1968,Por Cuba Freeing U.S. Baptist Missionary
1967,"PARIS, April 3 (UPI)--Marcel Cerdan Jr. outpointed Robert Gallois in a close 10-round middleweight bout tonight.   Cerdan Outpoints Gallois For His 29th Ring Victory"
2008,The dynamic of the presidential campaign is in one key sense reminiscent of Milton’s “Paradise Regained.” The Power of Passive Campaigning
1968," Midland Victor in Polo, 7-3"
2009,"A federal appeals court agreed to hear an appeal of Chrysler’s sale to Fiat, after a lower court judge approved the move to help expedite the process. Chrysler Sale to Fiat Moves to a Higher Court"
1986,"  Domestic Travel Doldrums - Last week's decision by People Express to sell its Frontier Airlines was in part caused by People's inability to attract enough summer travelers. And People is not alone - many airlines are experiencing this somewhat surprising problem.   ''Most people expected the summer to be gangbusters,'' said David Sylvester, an airline analyst with Montgomery Securities Inc. in San Francisco. He added: ''It's not gangbusters, and there's no sign of an upturn.'' PROSPECTS"
1986,"FORTY-FOUR years ago, Atlantic City officially became the Army Air Force's Basic Training Center. Its hotels were transformed into barracks, Convention Hall became a training and parade center, and Haddon Hall Hotel was turned into the country's largest military hospital, England General.

On Nov. 2-4, a reunion a year in the planning by local citizens, ''Camp Boardwalk Revisited,'' will commemorate that tumultuous era with special programs and entertainment. The organizers expect a large contingent of the 350,000 men and women who trained or convalesced here during World War II. RESORT PLANNING VETERANS REUNION"
1971,O'Brien illus Leslie Maddin Has Wedding
2017,"A photography exhibit in Wuhan was criticized for placing images of wild animals side by side with black Africans, a juxtaposition many saw as racist. Chinese Museum Pulls Exhibit Comparing Animals to Black People"
1990,"LEAD: Elizabeth Harrison Winans, a daughter of Mr. and Mrs. Walter E. Winans of Bedford, N.Y., was married there yesterday at St. Matthew's Episcopal Church to James Edward Rossman, a son of Mr. and Mrs. Robert L. Rossman of Cleveland. The Rev. Dr. William E. Foley officiated. Miss Winans Weds in Bedford"
2017,A study shows how lobbying and political dynamics can change congressional and hospital behavior — and raise costs. The Unhealthy Politics of Pork: How It Increases Your Medical Costs
2005,"''Hard to believe it's been 10 years,'' John Wilson said, recalling the beginnings of Books & Culture, the journal that he edits. Hard to believe that it's only been 10 years, many of Books & Culture's 13,000 readers might respond, so much has that bimonthly review become a fixture of their intellectual and religious lives.      Still harder to believe, however, is that after 10 years one can mention Books & Culture to a great many people priding themselves on their devotion, precisely, to books and culture -- and draw a blank.   Provocative and Open-minded, Evangelical Journal Celebrates 10 Years of Breaking Stereotypes"
1996,"TEN months ago, China and Taiwan were on the verge of opening their seaports  to each other's shipping and inaugurating direct air service across the Taiwan Strait for the first time in nearly 50 years of barely suspended civil war. Now  suddenly, pistols are drawn and the threat of military confrontation hangs in the air like grenade smoke.         How such a reversal could so suddenly threaten the stability of Asia is a drama in which there are four players, each with its distinctive contribution to the crisis. The first is the Republican Congress, which has spawned the most energetic coalition ever assembled to openly confront China while the second player, the Clinton Administration, has sought ""engagement."" Congress has promoted independence for Taiwan and Tibet, and it proposes sanctions every time China is found wanting on human rights, nuclear proliferation and the theft of a Mickey Mouse trademark.    THE WORLD: The China-and-Taiwan Problem;How Politics Torpedoed Asian Calm"
1966, Reports of Skiing Conditions
1988,"LEAD:         *3*** COMPANY REPORTS **    *3* Tab Products Co (AMEX)       Qtr to May 31   1988   1987                     Revenue   33,159,000   31,662,000              Net inc   1,793,000   1,962,000              Share earns   .27   .29              Yr rev   131,959,000   123,681,000              Net inc   7,303,000   6,790,000              Share earns   1.09   1.00             Tab Products Co reports earnings for Qtr to May 31"
1999,"House votes to spend $1.4 billion next year to protect American embassies from terrorist attacks; money, exceeding Pres Clinton's request of $568 million, would be used to fortify vulnerable embassies and buy new ones; is included in $2.4 billion foreign financing bill approved by House on voice vote; Senate has approved only $300 million for security; House bill incudes amendment, approved 287-136, supporting Linda S Shenwick, State Department employee who says she was removed from United Nations post for divulging embarrassing data to members of Congress and press (M) House Votes $1.4 Billion for Embassy Security; Senate May Balk"
1983,"Strike Up the Bands   The amount the Government spends for military music has risen again, and the Congressional Arts Caucus is up in arms. To maintain 101 Army, Navy, Marine Corps and Air Force bands with some 5,300 members, President Reagan's 1984 budget calls for $102.1 million, up from $99.7 million this year and $93.7 the year before.   The chairman of the arts caucus, Representative Thomas J. Downey, Democrat of Suffolk, pointed out that the President had cut the budget of the National Endowment for the Arts so that its total investment in music -symphony, opera, chamber, everything - was less than $11 million. ''This is just another example of the Administration's priorities,'' Mr. Downey declared. ''Why not a few less military bands and a few more local orchestras?'' BRIEFING"
1990,"LEAD:         *3*** COMPANY REPORTS **    *3* CTS Corp. (NYSE)       Qtr to March 31   1990   1989                       Sales   63,058,000   67,898,000               Net inc   1,572,000   3,798,000               Share earns   .30   .70              CTS Corp. reports earnings for Qtr to March 31"
1962, Events Today
1997,"KATZKI-Herbert. The Officers, Board of Directors and staff of the American Jewish Joint Distribution Committee (JDC) deeply mourn the passing of Herbert Katzki, a giant in the history of JDC since 1936. He served overseas for 30 years. One day before Nazi troops entered Paris in 1940, he fled to Lisbon where he helped direct JDC rescue programs during the Holocaust. As representative of the U.S. War Refugee Board, he served as special attache to the American Embassy in Ankara, Turkey and, subsequently, to the U.S. Legation in Berne, Switzerland. After the war, he played a key role in the relief and reconstruction of Jewish communities in Europe and helped develop programs for Jews in Israel and Moslem countries. A man of compassion and integrity, his dignity, kindness and humility inspired all who knew him. Our hearts go out to his beloved wife, Kate, his companion and partner in healing and public service. Jonathan W. Kolker, President Amb. Milton A. Wolf, Bd Chairman Michael Schneider, Exec. V.P. Ralph Goldman, Hon. Exec. V.P. Honorary Presidents: Heinz Eppler Sylvia Hassenfeld Donald M. Robinson Henry Taub    KATZKI-Herbert. Beloved husband of Kate, died August 3, 1997. A memorial tribute will take place on Wednesday, August 6, at 12 noon at the American Jewish Joint Distribution Committee, 711 Third Ave., between 44th & 45th Streets, 7th Floor, NYC 10017. Contributions to the Herbert Katzki Memorial Fund can be sent to the American Jewish Joint Distribution Committee. Paid Notice: Deaths  KATZKI, HERBERT"
2003,"Dallas Cowboys defeat Philadelphia Eagles, 23-21; photo (M) Two Key Plays Bookend Cowboys' Victory Over Eagles"
1966, Seymour--Perryman
2006,"Jennifer Heather Betit Yen, the daughter of Prof. and Mrs. Andrew Yen of Ithaca, N.Y., was married yesterday to Jeffery Peyton Worley, the son of Mr. and Mrs. Robert L. Worley of Chattanooga, Tenn. The Rev. John J. Unni performed the ceremony at St. Cecilia Roman Catholic Church in Boston. Jennifer Yen, J. Peyton Worley"
1998,"Growing use of black and white images in print media, television and advertising has given rise to sense that young people may not be as adverse to it as had been thought; influence of fashion and art photographers, who continue to do much of best work in black and white, cited; photo (M) Ideas & Trends: Black and White Is Back; Color 'Em Wrong"
1967, 'Farblondjet' On Every Night
2019,"Join educators from The Learning Network, the A.S.A. and Desmos, as well as guest teachers and students, as we discuss ways to teach with Times graphs. On-Demand Webinar: Teach With Graphs From The New York Times"
2002,"Leo Ornstein, Russian-born composer and pianist who in early 20th century was leading figure of American avant-garde, dies at age 108 or 109; photo (M) Leo Ornstein, 108, Pianist And Avant-Garde Composer"
1972,Kissinger told meeting of relatives of Amer POWs on Jan 28 that Sen defeat of foreign aid bill last Oct 29 was among a number of factors that led to suspension of secret peace talks; said bill defeat might have led Hanoi to believe that US aid to Saigon would be ended without any concession by Hanoi in the negotiations; comment on other factors Kissinger has said influenced Hanoi to leave talks; Kissinger briefed meeting on secret talks; meeting was supposed to be confidential KISSINGER LINKS AID BILL TO TALKS
2000,"Letter from Mary Dobbs, retired Florida teacher, says she taught her students importance of voting, and now she wonders if their votes were counted Who Is Winning the Fight for America's Heart?; A Teacher's Worry"
1968,"Guide, The: (By H Breit and P Rinehart, based on R K Narayan novel) rev Theater: Reluctant Guru; Mohyeddin Excels in 'The Guide' at Hudson"
1967,12 bodies found in various parts of country; believed victims of rightwing orgn 12 Murder Victims' Bodies Are Found in Guatemala
2000,"Space scientists and engineers gathered for International Conference on Low-Cost Planetary Missions privately voice concerns about mounting challenging interplanetary missions on tight budgets and risking failure by trying to do too much with too little; cite lessons of two failed American Mars probes, both hallmarks of 'faster, better, cheaper' exploratory approach; Dr Edward C Stone, director of National Aeronautics and Space Administration's Jet Propulsion Laboratory, which managed Mars missions, comments; photos (M) Debating the Real Price of Space Bargains"
2014,"The husband-and-wife team has redone Five Points, turning it into a new restaurant with a name that pays homage to their Vix Cafe. Vic’s Is the Latest From Vicki Freeman and Marc Meyer"
2002,"John Richard Dellenback, former Oregon congressman, dies at age 84; photo (M) John R. Dellenback, 84, Former Oregon Republican Congressman"
2003,"General Motors Corp, intent on increasing its market share for second consecutive year, slashed prices in December that lifted sales 36 percent and helped it accomplish its goal; GM's share of US market, as high as 60 percent in early 1960's, stands at 28.7 percent; GM had its best December on record and posted 14.4 percent increase compared with month year earlier; Ford Motor Co posted gain of 8.2 percent for December and Chrysler unit of DaimlerChrysler reported 1 percent gain; graphs; charts (M) G.M. Lifts Market Share On Sales Burst In December"
2006,"The hard news here is that James Levine, having injured a shoulder in a fall onstage in Boston last Wednesday, has bowed out of the Boston Symphony Orchestra's short tour, leaving his players in other hands. On Monday evening at Carnegie Hall, the tour's first stop, those hands belonged to Marek Janowski; the remaining concerts are to be led by David Robertson.      Mr. Janowski led the program that Mr. Levine was going to conduct, an odd but thought-provoking pairing of Schoenberg's Chamber Symphony No. 1 and Beethoven's Ninth Symphony. As it happened, Mr. Janowski led these players in the Beethoven at Tanglewood last summer, so his conception of it, and their response, were not untested.   With Its Maestro Absent, the Boston Still Takes Beethoven and Runs With It"
1986,"  A foundation created by Frederick W. Richmond, a former member of Congress from Brooklyn, has offered to pay $750,000 to Michael Bennett for the option to buy a lower Broadway building that is owned by Mr. Bennett and that houses several dance companies, theater crafts workshops and rehearsal studios.   Mr. Richmond's commitment of funds enabled the tenants to make a last-minute effort to stop the sale of the building, at 890 Broadway, to a real-estate development concern that reportedly plans to convert it into standard office space.   Justin Colin, chairman of the finance committee of the American Ballet Theater, which rents studio and office space in the building, said that the $750,000 would offset any financial loss to Mr. Bennett, who reportedly feels compelled to sell the building before the first of the year, while he can still take advantage of current tax laws. Mr. Colin said the tenants hoped that by purchasing the one-year option, they would have time to raise $15 million more to purchase the building. ARTS TNNANTS ENLIST FOUNDATION AID"
1993,"  To the Editor:   Now that the hearts of many Americans have been touched by the devastating images of starving children in Somalia, the release of Unicef's ""State of the World's Children 1993"" report is a timely reminder of the plight of children around the globe. Approximately 35,000 children worldwide die each day from largely preventable disease and malnutrition. Almost 60 percent of these 13 million annual deaths are caused by just three diseases -- pneumonia, diarrhea and measles -- which can all be prevented or treated at very low cost. Reaffirm Our Commitment to World's Children"
1967,"USSR repts its 1st jet plane crashed on 7th test flight, '42; claims it was 1st jet flight although Ger flew jet craft in '39 and GB developed 1 in May '41 Tass Says First Soviet Jet Crashed During 1942 Test"
1967,"Concrete-weighted bodies of 2 young women found, Whisky Creek Canal; underworld linked Bodies of 2 Women Found in Florida; Gangs Suspected"
1988,"LEAD:         *3*** COMPANY REPORTS **    *3* Raven Industries (AMEX)       Qtr to April 30   1988   1987                     Sales   16,809,000   14,650,000              Net inc   406,000   554,000              Share earns   .25   .35             Raven Industries reports earnings for Qtr to April 30"
1978,"Article on corp charity notes that US cos doled out record $10.35 billion, about 1% of pretax earnings, in '76 to charitable orgns; Conf Bd researchers Kathryn Troy and Anne Klepper comment; survey shows 773 of biggest corps contributed to health and welfare agencies, educ insts, civic activities and cultural orgns; contributions of Exxon, Xerox and IBM noted; chart (M) IDEAS AND TRENDS,; Philanthropy Science.; Corp[orate Charity: Running,the Alms Race"
1973,"Ex-White House aide H R Haldeman testifies on July 31 before Sen Watergate com that he learned number of details about several of more controversial aspects of Watergate affair long before they became public; stresses that he had not understood any of events to have been illegal or improper; says he, Pres Nixon and J D Ehrlichman were eager during '72 campaign to disclose as many details of Watergate affair as possible; says he learned sometime in period shortly after Watergate break-in of payments 'for the legal fees and for family support of the defendants'; says it is his 'gen recollection' that he learned of meetings between ex-Atty Gen Mitchell and Watergate conspirator G G Liddy from then-White House counsel J W Dean 3d last summer; says Dean may have reptd to him earlier, just after 2d meeting on Feb 4 '72; says he cannot remember receiving memo subsequently that included rept on a $300,000 'sophisticated intelligence plan' at Nixon's re-election orgn; says he cannot recall ordering aide G Strachan to instruct Liddy 'to transfer his capabilities' from Sen Muskie to Sen McGovern, who were then seeking Dem Pres nomination Haldeman Says He Learned of Watergate Events Before They Became Public"
2008,A judge found a Toronto man guilty in a plot to bomb Canadian government offices and attack the prime minister. Man Guilty in Canada Terror Plot
1968,"Justine: Dir J Strick released from film, reptdly in dispute with producer P S Berman; filming suspended Joseph Strick, Director, Leaves 'Justine' Movie"
1968,"DETROIT, Feb. 8 (AP) -- Labor troubles continued to curb automobile production this week as some 12,900 General Motors Corporation workers jumped a strike deadline and walked out today in Canada, while the United Auto Workers announced strike deadlines on five more Chevrolet plants in the United States.   Automobile Production Shows Decline in Total for the Week"
1996,"Most farmers in Nebraska (and everywhere else) try to kill off the milkweed in their fields, but not those cornhuskers around the Natural Fibers Corporation. The little company in Ogallala blends milkweed floss -- the shiny fibers exposed when the pods crack open in the spring -- with goose down to create batting for comforters and pillows. Insulation aside, the floss's biggest selling point is that it's hypoallergenic. ""The hollow fibers of the milkweed trap and suppress the dust and dander in down,"" explains Herb Knudsen, the president of Natural Fibers.          Sales of Ogallala down comforters and pillows doubled last year, but one of  the company's biggest problems is growing enough Syriaca. (The company, no doubt concerned about the marketability of bedding made of weeds, prefers milkweed's scientific nomen.) ""In cornfields, milkweed is a problem,"" Knudsen says, ""but when you try to grow it alone, it falls prey to diseases. And you can't use most herbicides to control other weeds, because they're designed to kill milkweed."" That's why he pays his neighbors $8 a bag for combing the pods from their own fields.    Sunday April 21, 1996: FLOSSING;The Milkweed Factor"
1967, Schedules of C.H.S.A.A. Football
1987,LEAD:  MY PRIDE AND JOY  By George Adamson. Illustrated. 304 pp. New York: Simon & Schuster. $19.95. Talks With Lions
1975,Outgoing Shipping/Mails
1973,"more than 2 inches of rain have fallen in NYC during last 2 days, causing no more than usual floodings on city's hwys Metropolitan Briefs"
1980,"NEW BRUNSWICK THE retirement of Representative Ed  ward J. Patten of Perth Amboy, a Democrat and the only Representative that the 15th Congressional District has ever  had, has set the stage for election battles in both major parties that could lead to changes in their leaderships.   Seven Vying to Succeed Patten In 15th Congressional District; 7 Vie to Succeed Patten in 15th C.D."
1990,"LEAD: CBS SPORTS dispatched three of its best-known broadcasters to the front lines in the drug war - in an ambulance, a morgue and a prison - to film the commercials that were shown Sunday during the Super Bowl.   CBS Donates Anti-Drug Commercials"
1967,"Dr M Farber urges schools put more stress on science, s, Internatl Philosophy Yr conf PHILOSOPHERS URGED TO STRESS SCIENCES"
1961,"The first book of Bruce Catton's three-volume ""The Centennial History of the Civil War"" will be published Oct. 20 by Doubleday. Called ""The Coming Fury,"" it opens with the almost festive Democratic convention in Charleston in 1860 and ends with the nation torn apart by the first battle of Bull Run.   Books and Authors"
2003,"Judy Mason Berger letter describes idyllic childhood in Atlantic Beach, NY (Jun 20 article) Atlantic Beach Memoir"
2000,"Lessons column discusses Dobbs Ferry, NY, residents voting down bond issue that would have expanded and upgraded schools; arguments for and against issue discussed; drawing (M) Tough Call for Small Town On Improving Its Schools"
1972,"Gary, Ind, Teachers Fed votes, Apr 19, to strike city's school system in dispute over school bd plans to reduce teaching force next fall; strike was voted after school bd allegedly broke off what teachers called good faith negotiations; fed says bd had agreed to do nothing to void teacher contracts until Apr 25 Teachers in Gary, Ind., Vote For Strike, Starting Today"
1991,"  Alex Reynders runs a private tennis academy called Vanhulst in the south of the Netherlands. One of his pupils for the last four years has been Paul Haarhuis, who will play a quarterfinal United States Open match tonight at Jimmy Connors's house, also known as the National Tennis Center.   Since Haarhuis took out top-seeded Boris Becker in the third round last week, Reynders has closely studied Connors in anticipation that his man Haarhuis would have to play tennis's gyrating geriatric. The teacher came away from watching Connors outlast Aaron Krickstein in the fourth round feeling like a very important man. Preparation for Connors, he decided, is more important than perhaps against any other opponent, including the five top-seed players. Footwork, Flat Shots Keep Connors Going"
1983,*3*** COMPANY REPORTS ** NORTHROP CORP reports earnings for Qtr to Sept 30
2018,"In the criminal justice system, there are difficult puzzles. This one is by John Guzzetta. ‘Go, Me!’"
1999,"Article by John Lloyd on decline of Russia in years following collapse of Communism; cites host of reasons cited by West as to cause of decline, noting that it is becoming one of most charged foreign-policy debates in the United States; says in Russia, charge is that New Russian reformers, abetted by the West, have destroyed country's economy while enriching themselves; traces West's involvement in Russian reform; says Russia has suffered from West's mistakes and preconceptions but ultimately will make its own accommodations; says Russia was never ours to lose and that Russia lost the trust in itself that makes societies civil and functioning; photos (L) The Russian Devolution"
1961, Fir Plywood Prices Reduced
1988,"LEAD: The highest-ranking black executive on a major league team, Henry Aaron, is considering leaving baseball because, he said, blacks are not being allowed to move into the game's top positions. Aaron May Leave"
2015,"Set on a Caribbean island, a new stage drama, “Closure,” revolves around the disappearance of a young woman, the strain it puts on her parents and a detective’s efforts to find her. Review: ‘Closure’ at the New Jersey Repertory Company"
1990,"LEAD: ALTHOUGH supernovas are the most violent of all cosmic events visible from the Earth, most of these stellar explosions are hard to detect, either because they are enormously far away or because they are dimmed by intervening dust and gas clouds. But new devices that search the heavens automatically for faint new supernovas have begun to quicken the pace of discovery. Devices Help Scientists Find Supernovas"
2001,"Investigators said today that initial analysis of the cockpit voice recorder retrieved from the wreckage of the Monday's crash appeared to be an accident. Rattling Noises Were Heard Before Jet Crash, Officials Say"
1984,"  Can New York City burn the more than 22,000 tons of garbage it produces each day without polluting the air with chemicals that are believed to promote cancer?    The question, which is the central issue in a vote to be taken by the Board of Estimate in the next few weeks, must be answered soon, because the city will run out of space to bury its trash before the year 2001.   The Koch administration has proposed the construction of eight so- called resource recovery plants - incinerators that would each burn 3,000 tons of garbage a day and produce electricity and steam for heating.    But scientists have measured significant quantities of dioxins and furans at garbage incinerators in other cities. These families of chemicals, they say, severely aggravate the effects of carcinogens, even at very small doses. IS NEW YORK CITY'S INCINERATOR PLAN A HEALTH THREAT?"
1987,"LEAD: A five-month investigation into the sale of crack in Nassau County ended today with the biggest drug sweep in the county's history, officials said. RECORD NASSAU DRUG SWEEP NETS 93 OF 104 INDICTED AS STREET SELLERS"
2009,"The PC industry suffers a tough first quarter, particularly Dell. Acer is showing strength. Dell Still Struggles; H.P. and Acer Grow"
2013,What about this idea that you can’t bully a football player? Friday Night Slights
2005,"Jason Giambi is still searching, still trying to find the solution that will once again make him the prominent player that he believes he can be. He is inspired yet cautious about his continuing offensive splurge. While Giambi is encouraged by it, he knows there is much more he needs to accomplish.     So Giambi lumbers along, wondering what will happen after his next swing and his next at-bat. Can Giambi continue to display the power he has exhibited while belting four homers in the last four games? Can Giambi become a formidable force again and make the lineup deeper?   With a Bit of Friendly Advice, Giambi Turns Season Around"
1960,Hazeltine Tech Development Center and Wilcox Elec Co get FAA contracts for radar beacon transponders RADAR AID IS SLATED FOR PRIVATE PLANES
1973,"about 75 LIRR trainmen and engineers who feel that they have become pawns in women's liberation skirmish have been notified by rr that they will be reassigned because they do not meet new physical requirements; UTU has called special meeting to discuss move; new requirements were recently set by rr as result of complaint by 29-yr-old Carol Wagner that rr discriminated against her when she applied for trainman's job; Wagner won opinion by NYS Human Rights Div that she did not obtain job because she is woman; rr said she was not hired because she did not meet line's 5 ft-7 inch height requirement, but her lawyer showed that rr had at least 8 trainmen who were also shorter than 5 ft-7 inches; rr now requires trainmen to be able to reach height of 86 inches, which it says is necessary for person to be able to reach ceiling signal button; also requires that worker be able to climb 39-inch step and lift and hook up 63-lb car coupler in 30 seconds; rr spokesman denies that new requirements are aimed at barring women from jobs L.I.R.R. TO SHIFT 75 UNDER NEW RULES"
1988,"LEAD:         *3*** COMPANY REPORTS **    *3*COLUMBIA SAVINGS & LOAN ASSN (NYSE)       Qtr to Dec 31   1987   1986                     Net loss   b34,826,000   c24,841,000              Share earns   -   .67              Yr net inc   119,349,000   193,526,000              Share earns   3.04   5.40              b-Reflects a pretax loss of $52,184,000 on sales of securities and a $22,372,000 provision for losses on investment securities and loans receivable. COLUMBIA SAVINGS & LOAN ASSN reports earnings for Qtr to Dec 31"
2003,"Jarden Corp agrees to buy Lehigh Consumer Products Corp, largest supplier of rope, cord and twine in US, for $155 million (S) JARDEN AGREES TO BUY LEHIGH CONSUMER PRODUCTS"
1986,"  The Wickes Companies said that it had agreed to sell its Woman's World Shops, a chain of retail stores specializing in clothing for large women, to the Amcena Corporation. Terms were not released. Wickes to Sell Woman's World"
2007,"With Mayor Michael Bloomberg traipsing around Asia, Patricia E. Harris has been acting mayor of New York all week.  She Reigns as Bloomberg, but Briefly"
1969," Miss Janet Flint Vickery Bride Of William S. Butler, Teacher"
1986,"  Charles Abraham Wagner, a former executive director of the Poetry Society of America, died Sunday at his home in Manhattan after a long illness. He was 88 years old. CHARLES A. WAGNER"
1975,"MORGANTOWN, W. Va., March 7 (AP)&#8212;Derrick Jackson scored 18 points tonight as Georgetown notched a 66&#8208;59 upset of George Washington in the E.C.A.C. southern division playoffs. Georgetown Scores Upset"
1995,"WITH Congressional Republicans trying to cut the Medicare and Medicaid programs, paying for medical care may become a serious problem, particularly for the poor and middle class. So Money magazine's calm and thorough discussion of the financially Darwinian situation, and possible remedies, in its December issue is timely and welcome.         After skillfully laying out one family's story as an example of what thousands of families may face, the magazine prepares readers for some tough news.    OFF THE SHELF;Balancing Health Care Costs Without a Safety Net"
2009,"An early opinion roundup, on topics including race and crime, Israel's future and Palin's legacy. Morning Skim: Not Talking About Crime Rates and Race"
2016,"Romanticizing, and condescending to, the “real America.” What Do The Simple Folk Do?"
2001,"Interview with former Pres Jimmy Carter on his latest memoir, Christmas in Plains; photos (M) Christmas Past in the House That Jimmy (and Rosalynn) Built"
2010,"As states face severe budget shortfalls, many have cut home-care services for the elderly and  the disabled. Staying at Home, With a Little Help"
1994,"  NOW that Tonya Harding has landed the most difficult jump of her skating life -- the Continental Double Cross -- she ought to finally be appreciated by all, if only because her arrival here yesterday keeps Michelle Kwan down on the Oslo farm.   Kwan is the 4-foot-9-inch, 77-pound, 13-year-old who, in Nancy Kerrigan's absence, finished second at the United States Nationals in Detroit last month. She subsequently was made the alternate by a United States skating federation that was hopeful Harding, its national champ, would land anywhere -- a Turkish prison? -- but here. Tuesday, the United States Olympic Committee announced that Kwan would continue training in Oslo, in the event that something goes askew in the Hardigan training circus. Sports of The Times; Olympics Should Be Rated 'R'"
2015,"Despite strong sales of the new iPhone models, Apple’s forecast for the holiday season — traditionally its strongest quarter — was cautious. IPhone Demand Drives Apple Profit, but Outlook Is Muted"
2005,"Yale-New Haven Hospital seeks to build $430-million cancer center near its downtown campus, but finds that Service Employees International Union is using its leverage to try and organize 1,800 of hospital's 6,200 workers; hospital and union have been at stalemate for seven years over issue; project needs approval from city and state authorities; opposition of neighborhood groups and Mayor John Stefano Jr's efforts to bring sides together discussed; photo (M) Connecticut Hospital's Plan for Cancer Center May Offer Union Leverage in Dispute"
1971,UN Assn of US urges that UN be given ltd cost-free access to Intelsat system for peace-keeping operations and disaster warning and relief U.S. Group Urges Free Use by U.N. Of Satellite Radio
2015,"The artist’s first full retrospective in New York, at the Bronx Museum of the Arts, crackles with fervor, desire and coded insider-outsider knowledge. Martin Wong, an Urban Visionary With a Hungry Eye"
